study,female,male,unknown
EGAS00001002783,0,0,21
EGAS00001002784,23,59,0
EGAS00001002786,0,0,59
EGAS00001002787,694,582,0
EGAS00001002788,14,28,0
EGAS00001002789,0,0,158
EGAS00001002790,11,7,0
EGAS00001002791,7757,3381,0
EGAS00001002792,22,0,0
EGAS00001002793,612,1102,0
EGAS00001002795,22,7,0
EGAS00001002796,0,0,6
EGAS00001002801,69,63,0
EGAS00001002802,0,0,15
EGAS00001002803,54,0,0
EGAS00001002804,14,10,0
EGAS00001002805,60,0,0
EGAS00001002806,2,0,0
EGAS00001002807,24,27,0
EGAS00001002809,4795,3374,0
EGAS00001002811,0,0,36
EGAS00001002812,0,0,57
EGAS00001002814,0,0,520
EGAS00001002816,0,92,0
EGAS00001002818,15,29,0
EGAS00001002819,38,64,0
EGAS00001002820,31,19,0
EGAS00001002822,4,4,0
EGAS00001002823,23,70,0
EGAS00001002825,113,85,0
EGAS00001002826,0,2,0
EGAS00001002827,26,8,0
EGAS00001002830,1,3,0
EGAS00001002831,4,0,0
EGAS00001002833,143,0,0
EGAS00001002839,711,0,0
EGAS00001002840,0,0,3
EGAS00001002842,30,73,0
EGAS00001002844,8,200,0
EGAS00001002845,6,0,0
EGAS00001002846,6,0,0
EGAS00001002847,1,2,0
EGAS00001002850,78,223,0
EGAS00001002851,0,24,0
EGAS00001002852,12,82,0
EGAS00001002853,0,0,14
EGAS00001002854,76,80,0
EGAS00001002856,66,84,0
EGAS00001002858,668,5,16
EGAS00001002859,108,190,0
EGAS00001002860,8,9,0
EGAS00001002861,18,19,0
EGAS00001002863,0,0,34
EGAS00001002864,0,0,74
EGAS00001002865,27,37,0
EGAS00001002866,0,480,192
EGAS00001002869,26,53,0
EGAS00001002871,30,0,0
EGAS00001002872,28,52,0
EGAS00001002873,5,464,3
EGAS00001002874,469,812,0
EGAS00001002876,0,561,0
EGAS00001002877,1,0,0
EGAS00001002879,31,114,0
EGAS00001002882,9,10,0
EGAS00001002884,114,231,0
EGAS00001002885,0,0,42
EGAS00001002886,0,4,46
EGAS00001002888,14,14,0
EGAS00001002889,131,178,0
EGAS00001002891,35,107,0
EGAS00001002892,25,77,0
EGAS00001002893,26,38,0
EGAS00001002894,14,18,0
EGAS00001002895,8,4,0
EGAS00001002896,0,0,693
EGAS00001002897,10,10,0
EGAS00001002898,4,0,0
EGAS00001002899,0,4,54
EGAS00001002901,0,8,0
EGAS00001002903,15,0,0
EGAS00001002908,0,0,17
EGAS00001002910,11,13,0
EGAS00001002911,1,0,0
EGAS00001002917,32,31,0
EGAS00001002920,31,54,0
EGAS00001002921,514,544,105
EGAS00001002923,0,128,0
EGAS00001002927,14,10,0
EGAS00001002928,0,0,589
EGAS00001002929,0,0,5
EGAS00001002931,0,0,37
EGAS00001002932,0,0,76
EGAS00001002933,2208,96,0
EGAS00001002935,17,21,0
EGAS00001002936,204,318,0
EGAS00001002937,960,964,0
EGAS00001002940,3,6,0
EGAS00001002941,0,678,0
EGAS00001002947,183,0,0
EGAS00001002948,0,633,84
